person,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,in_frame_sample,group,contact_traced_covid_cases
3,1907,Stayed the Same,Stayed the Same,Decreased,Increased,Decreased,Cost of insurance,CECRA,"NA",Yes,1 month to less than 3 months,Yes,Chinese,No,Yes,"No, but our business used to use it",Commission fees too high,Yes,1,1,5
4,1983,Decreased,Increased,Increased,Decreased,Decreased,Government regulations,CEWS,"NA",No,Not considering permanent closure or bankrupcy,Yes,South Asian,No,No,"NA","NA",Yes,1,1,3
8,1933,Stayed the Same,Stayed the Same,Decreased,Decreased,Stayed the Same,Cost of delivery and take out,CEBA,"NA",Yes,Less than 1 month,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,1
13,1902,Increased,Stayed the Same,Decreased,Increased,Increased,Government regulations,CERS,"NA",No,Less than 1 month,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
18,1936,Stayed the Same,Stayed the Same,Decreased,Increased,Stayed the Same,Cost of delivery and take out,CEWS,"NA",Don't Know,Not considering permanent closure or bankrupcy,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
26,1972,Decreased,Stayed the Same,Increased,Increased,Decreased,Government regulations,Loan from Family or Friends,"NA",Yes,1 month to less than 3 months,Yes,South Asian,No,No,"NA","NA",Yes,1,1,3
28,1924,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Increasing competition,CECRA,"NA",Yes,6 months to less than 12 months,No,"NA",Yes,Yes,Yes,"NA",Yes,1,1,7
29,1937,Increased,Decreased,Decreased,Increased,Stayed the Same,Insufficent and/or fluctuating customer demand,"Provincial, Territorial or Municipal Government Programs","NA",No,3 months to less than 6 months,Yes,South Asian,No,Yes,Yes,"NA",Yes,1,1,8
40,1946,Increased,Decreased,Decreased,Increased,Decreased,Other,CECRA,"NA",Yes,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,6
41,1958,Decreased,Increased,Decreased,Increased,Stayed the Same,Shortage of space and equipment,Grant or Loan Funding from Philanthropic or Mutual-Aid Sources,"NA",No,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,5
42,1915,Stayed the Same,Stayed the Same,Increased,Stayed the Same,Decreased,Increasing competition,Financial Institution (Term Loan or Line-of-Credit,"NA",Don't Know,12 months or more,Yes,Korean,No,Yes,Yes,"NA",Yes,1,1,2
50,1903,Stayed the Same,Increased,Increased,Increased,Decreased,"NA",CECRA,"NA",No,Don't Know,Yes,South Asian,No,No,"NA","NA",Yes,1,1,8
56,1999,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Recruiting and training skilled employees,Loan from Family or Friends,"NA",Don't Know,12 months or more,No,"NA",No,Yes,Yes,"NA",Yes,1,1,8
64,1915,Stayed the Same,Stayed the Same,Increased,Increased,Decreased,Increasing competition,Regional Relief and Recovery Fund,"NA",Don't Know,3 months to less than 6 months,No,"NA",No,No,"NA","NA",Yes,1,1,4
